3,Terras do Suao,2020,1,20,4,5.99,22,0,14
4,Faisao,0,1,3,10,2.05,4,0,11
5,Vidigueira premium ,2020,1,4,4,5.65,5,0,14
6,Vila dos gamas,2018,1,4,4,2.79,12,0,13
7,Tapada dos gamas,2019,1,4,4,3.99,27,0,13.5
8,Navegante,2021,1,4,4,2.05,85,0,13.5
9,Leziria ,0,2,34,6,1.86,42,0,10.5
10,Cacho fresco ,0,5,34,6,1.99,43,0,11
11,Encostas de Favaios,0,1,19,11,2.95,21,0,13
12,Serro d' Asno ,0,1,39,11,2.29,51,0,13
13,Adega de murca,0,1,53,11,1.61,73,0,13
14,Conventual ,2013,2,38,4,4.99,48,0,13.5
15,Pousada do corvo grande selecao,2018,1,10,4,0.01,11,0,14
16,Porta da ravessa ,2018,1,10,4,2.49,72,0,13.5
17,Real Lavrador (legado),2019,1,10,4,2.45,75,0,13.5
18,Porta da ravessa colheita especial ,2019,1,28,4,3.99,33,0,13.5
19,Porta da ravessa ,2020,1,28,4,2.68,34,0,13.5
20,Longitude,2018,1,28,4,2.99,35,0,13
21,Porta da ravessa colheita especial ,2019,1,28,4,2.49,69,0,13.5
22,Syrah vinho regional Lisboa,2019,1,42,7,2.99,54,0,13.5
23,Hipotese reserva,2017,1,23,9,2.5,26,0,14
24,Vidigueira,2020,1,26,4,3.33,30,0,13.5
25,Adega de vila real  reserva,2018,1,25,11,3.29,29,0,14
26,Adega de vila real  premium ,2015,1,25,11,4.29,46,0,14
27,Muralhas de Moncao ,2018,3,51,13,4.19,65,0,12.5
28,Frei estevao ,2009,1,27,11,5.95,31,0,13.5
29,Adega Mayor touriga nacional ,2016,1,60,4,15.75,82,0,13.5
30,Terraco real premium ,2019,1,21,4,3.89,24,0,14.5
31,Vinha antiga,2015,3,15,13,9.9,17,0,13
32,Courelas de Pias Furdus Merula ,0,1,52,4,2.75,66,0,13.5
33,Quinta dos loridos alvarinho ,2016,2,30,7,10.2,83,0,13
34,JP Azeitao,2018,1,30,5,2.95,37,0,13.5
35,Monte das anforas,2020,1,30,4,3.99,91,0,14
36,Dom martinho ,2018,1,9,4,3.99,10,0,14
37,Vila de Corgos ,0,5,50,8,12.99,64,0,12.5
38,Chapeleiro,2017,3,35,13,5.45,44,0,11.5
39,Patria selecao,2015,1,18,4,9.5,20,0,14
40,Almocreve,2019,1,18,4,3.49,23,0,13.5
41,Pousada do corvo reserva,2019,1,18,4,1.8,56,0,15
42,Melange a 3,2019,1,12,9,5.78,14,0,13
43,Adega de pias reserva,2017,1,59,4,3.69,81,0,14
44,Papa figos,2019,1,55,11,6.85,76,0,13.5
45,Maria Gancha Touriga nacional,2020,1,43,4,0.01,55,0,13.5
46,Monte dos amigos ,2018,1,43,4,4.49,71,0,14
47,Bona Vita,2016,1,5,7,3.49,6,0,14
48,vinho regional lisboa reserva,2018,1,5,7,2.59,32,0,13.5
49,A.Henriques ,0,5,1,10,5.75,1,0,12
50,Portas da Herdade,2018,1,32,4,4.15,39,0,13.5
51,Barao da figueira,2015,1,32,8,2.3,40,0,14
52,Papo amarelo reserva,2020,1,57,5,8.24,79,0,14
53,Casaleiro colheita selecionada,2019,1,41,6,3.95,53,0,13
54,Fonte dos Frades reserva,2015,1,41,6,2.12,70,0,13
55,Monte grande reserva,2017,1,41,4,3.96,90,0,13.5
56,Vinea cartuxa,2018,1,7,4,3.38,8,0,13.5
57,EA cartuxa,2018,1,7,4,3.99,50,0,13.5
58,Desenfado ,2017,1,56,7,2.41,78,0,13.5
59,Terra grande ,2020,1,56,4,2.58,88,0,13
60,Monte da contenda selecao ,2018,1,24,4,2.39,28,0,13.5
61,Santa vit�ria sele��o,2019,1,64,4,5.55,87,0,14
62,Tapada das lebres premium ,2018,1,29,4,3.99,36,0,14
63,Moira's ,0,1,29,4,2.19,68,0,13
64,Pera doce,2018,1,46,4,3.49,59,0,14
65,Monte velho ,2018,1,2,4,8.95,2,0,13
66,Defesa,2020,1,2,4,8.05,3,0,14
67,Monte velho ,2019,1,2,4,4.45,49,0,13.5
68,Herdade do peso colheita,2015,1,40,4,7.25,52,0,14.5
69,Sossego ,2019,1,40,4,4.11,77,0,13.5
70,Trinca Bolotas,2020,1,40,4,6.99,89,0,14
71,Monte da cal,2019,1,63,4,5.5,86,0,13.5
72,Loios,2018,1,47,4,2.99,38,0,14
73,Periquita,2019,1,47,5,3.69,60,0,13.5
74,Guarda Rios Signature,2019,1,58,4,6.01,80,0,13.5
75,Monte das serralheiras palmela,2019,1,37,5,3.42,47,0,14
76,Cavalo luso reserva,2018,1,33,6,3.62,41,0,13.5
77,Pancas,2018,1,54,7,4.49,74,0,13.5
78,Mula Velha,2019,1,6,7,2.99,7,0,13.5
79,Cistus Reserva,2011,1,49,11,9.89,62,0,14.5
80,Mocho galego signature,2019,1,36,4,4.99,45,0,13.5
81,Cabeca d'velho ,2019,1,16,9,2.99,18,0,13
82,Aldeia de irmaos,2019,1,48,5,3.75,61,0,14
83,Pias,2020,1,22,4,2.8,25,0,14
84,Encosta das perdizes ,2019,1,22,4,2.99,58,0,14
85,Encosta das perdizes superior,2018,1,22,4,2.99,67,0,14.5
86,Paco do conde ,2019,1,62,4,4.57,84,0,14
87,Sovibor borba,2017,1,11,4,2.99,13,0,13.5
88,Sovibor borba reserva,2016,1,11,4,3.99,63,0,14
89,Vila paraiso reserva,0,5,44,11,0.01,57,0,12
90,Casal soeiro ,0,5,14,7,1.29,16,0,9.5
91,Vale da nora,2018,1,17,4,3.15,19,0,13.5
